                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92816,                0.46222,                0.95209,                      1,                0.78361,                0.84203,                0.35594,                 2.1291,                0.86973,                 1.6168,              0.0013466,              0.0013466,              0.0013466
                     36,                0.96328,                0.46891,                   0.97,                0.97965,                      1,                  0.995,                0.45761,                 1.9981,                0.78246,                 1.5367,              0.0013268,              0.0013268,              0.0013268
                     37,                0.94565,                0.49156,                0.96765,                0.97929,                      1,                  0.995,                0.39843,                  2.233,                0.83722,                  1.671,               0.001307,               0.001307,               0.001307
                     38,                0.94291,                0.45448,                0.97113,                      1,                0.81731,                0.84955,                0.30549,                 2.4031,                0.84171,                 1.7311,              0.0012872,              0.0012872,              0.0012872
                     39,                0.95378,                0.45824,                 1.0016,                0.85544,                0.98811,                0.97214,                0.32318,                 2.4175,                0.87338,                  1.745,              0.0012674,              0.0012674,              0.0012674
                     40,                0.98739,                0.49108,                0.99096,                0.76325,                0.83333,                0.81147,                0.22622,                 2.7699,                0.88029,                 2.0786,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0473,                0.48479,                 1.0002,                0.70547,                0.83333,                  0.855,                0.26622,                 2.5977,                0.84607,                 1.9319,              0.0012278,              0.0012278,              0.0012278
                     42,                0.86465,                0.45123,                0.96329,                      1,                0.82234,                0.85543,                0.25539,                 2.3133,                0.89986,                 1.7028,               0.001208,               0.001208,               0.001208
                     43,                 1.0284,                0.49282,                0.99667,                0.98496,                      1,                  0.995,                0.36949,                 2.0826,                0.78827,                 1.5842,              0.0011882,              0.0011882,              0.0011882
                     44,                0.92835,                 0.4593,                0.95399,                      1,                0.79744,                0.83986,                0.30251,                 2.3163,                 0.7429,                 1.7405,              0.0011684,              0.0011684,              0.0011684
                     45,                0.92039,                0.44252,                0.98745,                      1,                0.81557,                0.84471,                0.30034,                 2.3299,                0.76435,                 1.7445,              0.0011486,              0.0011486,              0.0011486
                     46,                0.90707,                0.45543,                0.95437,                0.77276,                0.66667,                0.67902,                0.26127,                 2.4458,                0.90392,                 1.7384,              0.0011288,              0.0011288,              0.0011288
                     47,                0.84209,                0.41936,                0.91909,                0.75541,                0.66667,                0.70991,                0.24461,                 2.6428,                 1.0743,                 1.8309,               0.001109,               0.001109,               0.001109
                     48,                0.86757,                0.43217,                0.94075,                0.94353,                0.66667,                0.68196,                0.30661,                 2.5934,                 1.1402,                 1.7733,              0.0010892,              0.0010892,              0.0010892
                     49,                0.93209,                0.43365,                0.97372,                0.95999,                0.66667,                0.68641,                0.35717,                 2.3024,                0.99295,                 1.6135,              0.0010694,              0.0010694,              0.0010694
                     50,                0.84608,                0.42248,                0.89988,                0.97789,                0.83333,                  0.895,                0.34955,                 2.2784,                0.93564,                 1.6015,              0.0010496,              0.0010496,              0.0010496
